epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.594,0.95528,2.12213,1.24703,0.40813,0.26404,0.22403,0.1112,2.05581,4.92003,2.26316,0.0004,0.0004,0.0004
2,124.942,1.14664,1.35003,1.36964,0.09598,0.37079,0.08216,0.02766,2.41281,11.9757,3.02011,0.000819911,0.000819911,0.000819911
3,139.101,1.21902,1.30982,1.40044,0.00075,0.08989,0.00032,8e-05,5.06104,498.484,38.7771,0.00123946,0.00123946,0.00123946
4,153.31,1.30125,1.34373,1.4588,0.00086,0.24719,0.00055,0.00021,3.58829,inf,62.5518,0.00165838,0.00165838,0.00165838
5,167.417,1.35082,1.40334,1.48637,0.20349,0.19663,0.08816,0.02494,2.85129,27.2328,5.09589,0.00199653,0.00199653,0.00199653
6,181.394,1.26406,1.28252,1.41319,0.02445,0.57865,0.0187,0.00574,2.79278,inf,10.9393,0.00199458,0.00199458,0.00199458
7,195.438,1.22348,1.20891,1.37009,0.25452,0.66854,0.39949,0.16913,2.06284,13.168,2.48767,0.00199219,0.00199219,0.00199219
8,209.631,1.18706,1.15312,1.37378,0.53356,0.67416,0.56623,0.25373,1.80991,4.9769,2.06246,0.00198938,0.00198938,0.00198938
9,223.749,1.15995,1.07866,1.34773,0.25928,0.10674,0.06802,0.01948,3.12711,4.64712,3.45073,0.00198614,0.00198614,0.00198614
10,237.699,1.1588,1.13685,1.34308,0.35565,0.28652,0.20218,0.09,2.46551,2.96261,2.44659,0.00198246,0.00198246,0.00198246
11,251.63,1.12352,1.06003,1.3498,0.75166,0.72472,0.79638,0.54746,1.09584,1.44408,1.34376,0.00197837,0.00197837,0.00197837
12,265.671,1.13361,1.08361,1.35344,0.65342,0.60112,0.67151,0.39865,1.32608,2.44889,1.58887,0.00197384,0.00197384,0.00197384
13,279.654,1.13591,1.01948,1.32721,0.81516,0.8424,0.87073,0.5886,1.019,1.10782,1.19663,0.0019689,0.0019689,0.0019689
14,293.631,1.03925,0.99473,1.2796,0.74415,0.76966,0.82591,0.56983,1.04324,1.32714,1.30346,0.00196353,0.00196353,0.00196353
15,307.652,1.01095,0.9208,1.22759,0.80226,0.70657,0.80104,0.4891,1.31052,1.29915,1.43517,0.00195775,0.00195775,0.00195775
16,321.698,1.05798,1.00868,1.27995,0.81143,0.74157,0.80994,0.44502,1.46904,1.40003,1.49524,0.00195155,0.00195155,0.00195155
17,335.709,1.03459,0.9556,1.24234,0.7619,0.82584,0.86013,0.57441,1.04973,0.94573,1.21203,0.00194493,0.00194493,0.00194493
18,349.69,0.99774,0.88194,1.25029,0.85319,0.77528,0.86953,0.58212,0.95686,1.1804,1.1968,0.00193791,0.00193791,0.00193791
19,363.599,0.96517,0.87719,1.20317,0.83428,0.8764,0.90603,0.63145,0.99086,1.03406,1.18764,0.00193048,0.00193048,0.00193048
20,377.661,0.99569,0.86846,1.23464,0.89603,0.8231,0.90091,0.61397,0.93934,0.92432,1.18921,0.00192264,0.00192264,0.00192264
21,391.646,0.97197,0.8606,1.23185,0.84618,0.89625,0.93249,0.67685,0.92539,0.97479,1.18437,0.00191441,0.00191441,0.00191441
22,405.702,0.98779,0.88317,1.23032,0.82163,0.88202,0.91615,0.69947,0.85392,0.75149,1.09023,0.00190578,0.00190578,0.00190578
23,419.768,0.94215,0.85449,1.20787,0.86034,0.87079,0.92043,0.66872,0.93806,0.75783,1.13519,0.00189675,0.00189675,0.00189675
24,433.711,0.92783,0.80546,1.18711,0.81007,0.7809,0.86234,0.58275,1.0766,0.89059,1.2213,0.00188734,0.00188734,0.00188734
25,447.646,0.88643,0.82136,1.16207,0.88106,0.68539,0.81984,0.50548,1.15144,1.06294,1.34402,0.00187754,0.00187754,0.00187754
26,461.519,0.91049,0.83081,1.17766,0.88055,0.86974,0.91831,0.64233,0.90452,0.78896,1.11885,0.00186737,0.00186737,0.00186737
27,475.491,0.90494,0.78442,1.18932,0.87832,0.88202,0.92369,0.70957,0.81911,0.77379,1.04958,0.00185681,0.00185681,0.00185681
28,489.535,0.87778,0.74362,1.15007,0.89981,0.85775,0.91493,0.68484,0.87018,0.68134,1.07327,0.00184588,0.00184588,0.00184588
29,503.429,0.86376,0.74781,1.15155,0.75361,0.80337,0.80812,0.55924,1.02447,0.88411,1.26031,0.00183459,0.00183459,0.00183459
30,517.364,0.87965,0.75618,1.14666,0.83575,0.8427,0.86585,0.61389,1.00293,0.81993,1.23336,0.00182294,0.00182294,0.00182294
31,531.274,0.84856,0.74447,1.15636,0.89804,0.89064,0.94001,0.66019,0.91332,0.64942,1.14355,0.00181093,0.00181093,0.00181093
32,545.249,0.86047,0.74784,1.14771,0.94442,0.8427,0.93106,0.71658,0.83788,0.60736,1.09542,0.00179856,0.00179856,0.00179856
33,559.235,0.83894,0.70256,1.1312,0.93294,0.85976,0.93896,0.68053,0.89576,0.66595,1.08518,0.00178586,0.00178586,0.00178586
34,573.133,0.8411,0.70934,1.13633,0.92937,0.88714,0.93058,0.67102,1.00333,0.77495,1.12692,0.00177281,0.00177281,0.00177281
35,587.033,0.83378,0.70202,1.14139,0.90626,0.93258,0.96071,0.72747,0.8229,0.57495,1.05006,0.00175943,0.00175943,0.00175943
36,600.963,0.81959,0.68731,1.10905,0.89283,0.93606,0.94516,0.70415,0.86666,0.65187,1.10239,0.00174571,0.00174571,0.00174571
37,614.995,0.81512,0.65079,1.1146,0.91303,0.89888,0.94984,0.72517,0.78776,0.62961,1.06351,0.00173168,0.00173168,0.00173168
38,628.92,0.80032,0.68196,1.10008,0.85611,0.86905,0.92325,0.71361,0.78757,0.65461,1.04473,0.00171733,0.00171733,0.00171733
39,642.914,0.81444,0.69593,1.12707,0.92196,0.92915,0.95926,0.73721,0.83168,0.58592,1.06633,0.00170267,0.00170267,0.00170267
40,656.96,0.81015,0.67624,1.11148,0.86334,0.88727,0.92244,0.74276,0.76175,0.63598,1.05184,0.0016877,0.0016877,0.0016877
41,670.951,0.76894,0.65529,1.10536,0.87507,0.90449,0.94137,0.7364,0.77619,0.59766,1.03764,0.00167244,0.00167244,0.00167244
42,684.877,0.79161,0.6655,1.11275,0.91293,0.91011,0.94022,0.73276,0.82253,0.57329,1.05335,0.00165689,0.00165689,0.00165689
43,698.741,0.73823,0.63104,1.07005,0.92142,0.92229,0.94813,0.7425,0.78756,0.5483,1.05739,0.00164105,0.00164105,0.00164105
44,712.766,0.77381,0.6243,1.09192,0.92073,0.81461,0.90502,0.69394,0.81169,0.69594,1.06041,0.00162494,0.00162494,0.00162494
45,726.68,0.74725,0.63958,1.07347,0.87103,0.78652,0.86866,0.66399,0.8601,0.84623,1.1076,0.00160855,0.00160855,0.00160855
46,740.598,0.7387,0.60063,1.07351,0.89601,0.85955,0.90117,0.6751,0.87846,0.66693,1.16041,0.00159191,0.00159191,0.00159191
47,754.461,0.73211,0.64342,1.07035,0.92539,0.89888,0.94683,0.74246,0.79899,0.58351,1.05676,0.00157501,0.00157501,0.00157501
48,768.43,0.70582,0.59835,1.05992,0.90135,0.86517,0.92995,0.71481,0.78786,0.62568,1.05567,0.00155786,0.00155786,0.00155786
